input_r,input_g,input_b,out1_r,out1_g,out1_b,out2_r,out2_g,out2_b,out3_r,out3_g,out3_b
0.56028295,0.42023984,0.099773735,0.6899335,0.49990726,0.18521036,0.49682635,0.27756345,0.0,0.33002836,0.4902614,0.2600068
0.37946603,0.3312579,0.46803772,0.5431424,0.48949423,0.5815175,0.19027545,0.17494383,0.29091,0.4237519,0.35536197,0.39964783
0.31689644,0.57904595,0.87231743,0.44212538,0.66701883,0.9325139,0.2663883,0.52337295,0.7061717,0.59460694,0.4479712,0.72568166
0.69614434,0.7854124,0.82706046,0.89282423,0.9607624,0.9232269,0.6224842,0.7036949,0.76932734,0.7616024,0.7407783,0.8062364
0.71004647,0.7492316,0.47834578,0.87571895,0.8747785,0.5569411,0.649615,0.6859099,0.36257318,0.59419614,0.72963905,0.61378866
0.6300154,0.5450585,0.3506322,0.74879885,0.70407146,0.44283968,0.500999,0.4894897,0.15500301,0.49032378,0.58753693,0.44784534
0.5911228,0.0069801807,0.83519953,0.78263193,0.18615645,1.0,0.5383076,0.0,0.69955784,0.7131612,0.2990515,0.42108986
0.84206235,0.3479463,0.75934273,1.0,0.4885284,0.8873189,0.7644935,0.21519764,0.68042076,0.8007025,0.5950043,0.5536445
0.41149524,0.44202688,0.81891733,0.5352034,0.5285617,0.9522321,0.32866117,0.2988389,0.6453287,0.6152063,0.42676106,0.6304721
0.99450445,0.68196076,0.97607684,1.0,0.8325093,1.0,0.88766026,0.51820093,0.8239481,0.98529065,0.83823264,0.82901883
0.21988355,0.95994735,0.4820171,0.32562238,1.0,0.54880065,0.11680478,0.7883103,0.30009344,0.35095033,0.58991545,0.72098225
0.7779908,0.45451134,0.44101736,0.9115537,0.5069282,0.60398006,0.6573888,0.38285455,0.33048022,0.6095041,0.61625105,0.44776437
0.6587725,0.49559766,0.5821374,0.8121086,0.5720999,0.7249269,0.50477403,0.4091927,0.50412494,0.62045497,0.5771851,0.53886753
0.36452895,0.29237756,0.53496987,0.51363593,0.4370723,0.5962825,0.24540123,0.12503,0.44388166,0.4497494,0.32845327,0.41367373
0.14274967,0.63973266,0.35657373,0.325666,0.7060759,0.42693096,0.0,0.5688946,0.28926286,0.2496617,0.39124116,0.49815318
0.45286745,0.43527824,0.24738333,0.60349524,0.48551166,0.43227354,0.34865955,0.37033582,0.075691625,0.3501254,0.44407284,0.34133077
0.5784972,0.988851,0.5154551,0.70545185,1.0,0.6191365,0.40509373,0.9010474,0.34400922,0.54697615,0.7836741,0.7521531
0.040706243,0.9188258,0.068511255,0.19829088,0.97396207,0.25532275,0.0,0.8400717,0.0,0.054608747,0.479766,0.49366853
0.15829471,0.5543531,0.10412417,0.281592,0.63962215,0.2695267,0.0,0.37151223,0.0,0.13120945,0.35632393,0.32923865
0.58542,0.25802344,0.91332954,0.63989085,0.44490132,1.0,0.52076757,0.07056498,0.824264,0.7493748,0.42172176,0.5856765
0.20102856,0.17065935,0.29409212,0.37936628,0.22900982,0.39962548,0.04498354,0.0,0.20331204,0.24756034,0.18584396,0.23237574
0.61474943,0.6843614,0.3057931,0.7024402,0.87562424,0.44574204,0.4220347,0.55989563,0.15493913,0.46027127,0.6495554,0.49507725
0.59059536,0.3074037,0.6264324,0.7216726,0.44506478,0.77128005,0.40296265,0.15515904,0.53516954,0.6085139,0.44899955,0.46691808
0.49852413,0.8842278,0.21261026,0.6631275,1.0,0.30408993,0.35492563,0.7597877,0.115367234,0.3555672,0.691376,0.54841906
0.78843313,0.40866548,0.9976831,0.940751,0.55905825,1.0,0.63845074,0.27121598,0.7997049,0.8930581,0.5985493,0.7031743
0.9561001,0.6765216,0.40008745,1.0,0.7772576,0.45624414,0.78396386,0.49669892,0.30035976,0.6780938,0.8163108,0.5383045
0.09698846,0.28291208,0.21086913,0.23390257,0.47311717,0.38189572,0.009191393,0.105857395,0.1281231,0.1539288,0.18995027,0.2468906
0.026387278,0.23238073,0.9823716,0.1870594,0.28735358,1.0,0.0,0.06837372,0.8477858,0.50437945,0.12938401,0.60737616
0.8129563,0.24470674,0.5519047,0.99014604,0.34773776,0.63515335,0.6671151,0.14461878,0.43272135,0.68243045,0.5288315,0.3983057
0.17024267,0.55655384,0.87518454,0.29203013,0.6393266,0.995356,0.05147508,0.43094617,0.7147193,0.5227136,0.36339825,0.7158692
0.68068314,0.7547554,0.45305312,0.77388424,0.9512581,0.5861993,0.6300806,0.5851813,0.38060915,0.5668681,0.71771926,0.60390425
0.74144274,0.103381075,0.03727219,0.9080171,0.18765397,0.13502984,0.6733968,0.0,0.0,0.38935748,0.42241192,0.070326634
0.69653624,0.005416414,0.8021319,0.895948,0.1670402,0.9211238,0.50246483,0.0,0.62776685,0.7493341,0.35097635,0.40377414
0.9928502,0.5801521,0.9590713,1.0,0.6870038,1.0,0.8387635,0.52964413,0.90209454,0.97596073,0.78650117,0.7696117
0.4452794,0.15983619,0.18362902,0.61081123,0.22775592,0.36602914,0.3584309,0.006709262,0.11016593,0.3144542,0.3025578,0.1717326
0.4696915,0.17727895,0.7454536,0.6521356,0.29426146,0.9383942,0.38752967,0.07078424,0.6255743,0.60757256,0.32348523,0.4613663
0.8388037,0.6657346,0.6664604,0.9536558,0.7905449,0.71660435,0.68618935,0.5707045,0.48705536,0.752632,0.75226915,0.6660975
0.06875442,0.9408352,0.9153416,0.16059138,0.99149984,1.0,0.0,0.8389772,0.82542455,0.49204803,0.5047948,0.9280884
0.86300325,0.8173863,0.8799791,0.9591569,0.99147826,1.0,0.78336746,0.7386392,0.73125154,0.8714912,0.8401948,0.8486827
0.21975471,0.69249916,0.2242731,0.34422824,0.847566,0.40838525,0.08931966,0.60940295,0.06568071,0.2220139,0.45612693,0.45838612
0.831195,0.27953315,0.26115447,0.96216375,0.34456876,0.39408165,0.7251511,0.14695756,0.1691105,0.54617476,0.5553641,0.2703438
0.12760463,0.37632626,0.36447498,0.26054394,0.51342565,0.5347992,0.0,0.2900903,0.22402473,0.24603981,0.25196546,0.3704006
0.12652594,0.29127803,0.09125279,0.29128712,0.35941246,0.16242287,0.008349581,0.16084157,0.0,0.108889356,0.20890199,0.1912654
0.34981924,0.09458642,0.30185777,0.52893704,0.26767942,0.36198935,0.24523178,0.0,0.16918933,0.3258385,0.22220284,0.1982221
0.77737874,0.9519883,0.08377586,0.9259738,1.0,0.21416655,0.6990253,0.81080353,0.0,0.43057728,0.8646835,0.51788205
0.75957114,0.07116212,0.33571756,0.9220756,0.18704545,0.3869573,0.67605984,0.0,0.14176969,0.5476443,0.41536662,0.20343983
0.47786194,0.14816625,0.84811777,0.57282686,0.2518888,0.9518872,0.36597162,0.0,0.79213375,0.66298985,0.3130141,0.498142
0.17982008,0.5602509,0.22235915,0.33515924,0.7551578,0.28220543,0.051289365,0.46840134,0.06062559,0.2010896,0.37003547,0.391305
0.6296624,0.23235862,0.9836738,0.7983286,0.43013588,1.0,0.54075056,0.15025331,0.89540625,0.8066681,0.4310105,0.6080162
0.37707087,0.7716504,0.011486974,0.46290582,0.8598111,0.12153684,0.2996334,0.6260712,0.0,0.19427893,0.5743606,0.39156866
0.48690444,0.25505707,0.44420514,0.5395323,0.40641326,0.6345534,0.4101071,0.1709553,0.33588752,0.4655548,0.37098077,0.3496311
0.40329632,0.8712443,0.42818853,0.563536,1.0,0.5479927,0.2355797,0.7010117,0.23969655,0.41574243,0.63727033,0.64971644
0.04570847,0.432963,0.13457434,0.20686933,0.5599024,0.33370596,0.0,0.3579298,0.05683284,0.09014141,0.23933575,0.28376868
0.748826,0.606064,0.018623384,0.84968466,0.69702953,0.13841031,0.6711247,0.55033994,0.0,0.3837247,0.677445,0.31234372
0.65966904,0.5806341,0.6131059,0.85384876,0.6593911,0.761514,0.56668013,0.4768359,0.5107176,0.63638747,0.6201516,0.59687
0.8448063,0.22585493,0.5546053,0.92997557,0.39184406,0.66686696,0.67459816,0.069953464,0.38577604,0.6997058,0.5353306,0.39023012
0.030749409,0.61361533,0.5073022,0.22835602,0.7606732,0.64607894,0.0,0.5115572,0.3158136,0.26902583,0.32218236,0.5604588
0.7072925,0.7079697,0.41064996,0.7759381,0.80727524,0.57385033,0.57115054,0.5976162,0.32418373,0.5589712,0.7076311,0.55930984
0.46456268,0.081374675,0.31794566,0.55312884,0.21962698,0.44676745,0.40499446,0.02214581,0.21085441,0.3912542,0.27296868,0.19966017
0.30146435,0.28789917,0.79496783,0.49591047,0.38722095,0.9097491,0.18883623,0.10780523,0.62025183,0.5482161,0.29468176,0.54143345
0.2438069,0.7679415,0.89813757,0.3999874,0.9554088,0.96013856,0.16408464,0.5957404,0.72047883,0.57097226,0.50587416,0.8330395
0.18487632,0.16251123,0.46456727,0.2488889,0.30090046,0.63274455,0.08077255,0.092579216,0.31022185,0.3247218,0.17369378,0.31353927
0.63777906,0.47080103,0.9036185,0.8229812,0.5542283,1.0,0.4574218,0.37828192,0.74426067,0.7706988,0.55429006,0.6872098
0.83571523,0.4444618,0.51416737,0.8860849,0.5613904,0.6288997,0.73789686,0.26037592,0.353373,0.6749413,0.6400885,0.4793146
0.47164655,0.85830814,0.29832947,0.58249223,0.9731704,0.35468355,0.36800036,0.71581644,0.12156624,0.384988,0.6649774,0.57831883
0.6888187,0.027613962,0.111014895,0.82842684,0.08564348,0.18930331,0.5267995,0.0,0.0,0.3999168,0.35821632,0.06931443
0.50351775,0.93757725,0.47586507,0.5944313,1.0,0.6299622,0.4157317,0.78733504,0.29071718,0.4896914,0.7205475,0.7067212
0.3422839,0.9873579,0.56229347,0.47651148,1.0,0.6821025,0.23319653,0.8427499,0.5087993,0.4522887,0.6648209,0.7748257
0.6483101,0.70726115,0.62053794,0.7540951,0.8892543,0.73251075,0.58188844,0.5338965,0.45381808,0.63442403,0.67778563,0.66389954
0.8002221,0.5767498,0.24836914,0.8981506,0.6604776,0.3060058,0.600645,0.44165328,0.09178536,0.5242956,0.6884859,0.41255948
0.8704995,0.2922998,0.9222252,1.0,0.4820372,1.0,0.7369577,0.21238546,0.8607318,0.89636236,0.5813997,0.6072625
0.56051415,0.91890556,0.950753,0.7011716,1.0,1.0,0.37736693,0.78589493,0.766316,0.7556336,0.73970985,0.93482924
0.8190791,0.3118178,0.121537745,0.9018991,0.4827486,0.23193188,0.7622843,0.22040111,0.048868418,0.47030842,0.56544846,0.21667777
0.23057455,0.04683532,0.0053793155,0.39341736,0.15208067,0.17099574,0.16656978,0.0,0.0,0.117976926,0.13870493,0.026107317
0.58465403,0.11239782,0.68970335,0.7223423,0.29980966,0.80368304,0.42189187,0.023534195,0.5313332,0.63717866,0.34852594,0.40105057
0.42731225,0.38058168,0.16115,0.49614793,0.5314453,0.32289842,0.29159865,0.27727494,0.048197027,0.29423112,0.40394697,0.27086583
0.60488766,0.99695146,0.723325,0.7979978,1.0,0.8791269,0.47895357,0.8995455,0.64217967,0.6641063,0.80091953,0.86013824
0.99538636,0.22656919,0.96028244,1.0,0.36821437,1.0,0.942482,0.12786856,0.83823246,0.9778344,0.61097777,0.5934258
0.79734594,0.7560754,0.98108274,0.9034457,0.8659597,1.0,0.66966313,0.5757326,0.8508375,0.88921434,0.7767106,0.86857903
0.4494728,0.62014514,0.5928658,0.640596,0.81206906,0.68016064,0.24995828,0.50444925,0.5301093,0.5211693,0.534809,0.60650545
0.83217573,0.114597596,0.17581274,0.996937,0.2010024,0.33693904,0.64510846,0.0,0.0,0.5039942,0.47338665,0.14520517
0.54523087,0.66348,0.8205006,0.70201194,0.7631956,0.950974,0.4802836,0.6005138,0.76220065,0.68286574,0.6043554,0.7419903
0.3359141,0.84400773,0.5281859,0.39674696,1.0,0.6495525,0.20719306,0.667742,0.41371936,0.43205002,0.5899609,0.6860968
0.36556458,0.4765276,0.5996694,0.4955998,0.53037214,0.68423176,0.3032865,0.38205203,0.54211396,0.482617,0.42104608,0.5380985
0.07382952,0.6364352,0.1938936,0.2466542,0.79178095,0.33059022,0.0,0.5279073,0.09135806,0.13386156,0.35513237,0.4151644
0.95881534,0.48695254,0.78780484,1.0,0.6850876,0.95218736,0.8883094,0.42014924,0.698062,0.8733101,0.72288394,0.6373787
0.6708494,0.5285236,0.19633012,0.80549484,0.6773857,0.31746805,0.5041984,0.47744986,0.01174864,0.43358976,0.5996865,0.36242688
0.9672415,0.034597203,0.8339139,1.0,0.13052247,0.9748772,0.8345725,0.0,0.7031862,0.9005777,0.50091934,0.43425557
0.95976305,0.32962885,0.0008470114,1.0,0.46942624,0.06857129,0.9065338,0.15612102,0.0,0.48030505,0.64469594,0.16523793
0.81129783,0.8420026,0.0052222037,0.9880425,0.9122956,0.1374026,0.6748581,0.78279227,0.0,0.40826002,0.8266502,0.4236124
0.90840125,0.46654177,0.4481052,1.0,0.5975805,0.599574,0.82360125,0.31933323,0.35950023,0.67825323,0.6874715,0.45732346
0.6894843,0.34270543,0.36799088,0.7804401,0.47781077,0.5297042,0.5633906,0.22483513,0.21487753,0.52873755,0.51609486,0.35534814
0.6483859,0.54573476,0.5622679,0.71257985,0.6748298,0.6176655,0.4865997,0.36845237,0.40049413,0.6053269,0.5970603,0.55400133
0.38627943,0.39576206,0.9472595,0.49980938,0.51844966,1.0,0.29890114,0.3273887,0.86715007,0.66676944,0.39102075,0.67151076
0.46685317,0.121356025,0.54503584,0.5592087,0.18571332,0.6313781,0.3843605,0.045318674,0.3770897,0.5059445,0.2941046,0.33319592
0.4941726,0.203614,0.3670305,0.5913561,0.284882,0.43344337,0.35674578,0.062428568,0.3063025,0.43060157,0.3488933,0.28532225
0.3674595,0.18251316,0.75162184,0.56702274,0.31310812,0.84413874,0.19012034,0.006441873,0.5610839,0.5595407,0.27498633,0.4670675
0.705829,0.6066622,0.60582054,0.89589655,0.7983126,0.7681148,0.58795035,0.44579098,0.43708366,0.6558248,0.6562456,0.60624135
0.5851308,0.8170839,0.793778,0.6728549,0.88269717,0.8507027,0.42559582,0.68667406,0.6083825,0.6894544,0.7011073,0.80543095
0.9752313,0.69524324,0.58638996,1.0,0.87545115,0.74827284,0.8389309,0.51627034,0.41895443,0.78081065,0.83523726,0.64081657
0.150389,0.30284664,0.3975733,0.24897437,0.35776314,0.5902652,0.014839288,0.11334774,0.2971788,0.27398115,0.22661783,0.35020998
0.36486664,0.49917674,0.8571231,0.4315376,0.5697477,1.0,0.20452961,0.39549434,0.706203,0.6109949,0.4320217,0.67814994
0.8755785,0.47204146,0.019299347,0.98458326,0.59905154,0.09877675,0.6806978,0.3651426,0.0,0.44743893,0.67381,0.24567041
0.2990684,0.47594526,0.95247865,0.36296904,0.62906724,1.0,0.20843835,0.34174505,0.77565414,0.6257735,0.3875068,0.71421194
0.69266176,0.14790775,0.54431456,0.8774488,0.27605677,0.6989154,0.63151485,0.04733708,0.36941132,0.6184882,0.42028478,0.34611115
0.6037826,0.24958813,0.7013748,0.7743679,0.30034688,0.7851054,0.5510581,0.17960253,0.56094277,0.6525787,0.42668536,0.47548148
0.9661641,0.11406711,0.80842215,1.0,0.31071338,0.9349508,0.7686917,0.049186397,0.73135024,0.88729316,0.5401156,0.46124464
0.5231281,0.056706447,0.610049,0.65704906,0.1270747,0.7792918,0.43154985,0.0,0.4944009,0.5665886,0.28991726,0.33337775
0.15799397,0.31360978,0.16553167,0.31192335,0.4488071,0.32723245,0.0,0.2530714,0.0,0.16176282,0.23580188,0.23957072
0.86570334,0.93580407,0.6650358,1.0,1.0,0.75486165,0.6824502,0.8721297,0.59841466,0.7653696,0.9007537,0.8004199
0.76683366,0.16235104,0.69400483,0.82731533,0.27374053,0.88139564,0.65436924,0.111986324,0.5625214,0.7304192,0.46459237,0.42817792
0.22697882,0.12736334,0.27438277,0.35397986,0.31008968,0.45292878,0.10173866,0.0,0.19249777,0.2506808,0.17717108,0.20087306
0.86535054,0.09283661,0.4597315,0.9281002,0.2188449,0.55384505,0.80445516,0.0,0.31289595,0.66254103,0.47909358,0.27628407
0.44657305,0.6981496,0.68458307,0.6341272,0.82695353,0.8702255,0.3427732,0.56257474,0.5825528,0.56557804,0.57236135,0.6913664
0.49052224,0.9017466,0.17613661,0.589382,1.0,0.30523622,0.3730805,0.7572057,0.018220993,0.33332944,0.6961344,0.53894156
0.2775383,0.8328205,0.6305771,0.40610933,1.0,0.70860076,0.1925776,0.692577,0.5218961,0.4540577,0.55517936,0.73169875
0.7279828,0.2585078,0.33921474,0.8045185,0.43506956,0.43820035,0.61203617,0.18489324,0.25610685,0.5335988,0.4932453,0.29886127
0.5682313,0.81220853,0.77152205,0.69359386,0.8821115,0.8908383,0.46055454,0.64369905,0.60853535,0.6698767,0.69021994,0.7918653
0.49044624,0.73698735,0.096734315,0.6475858,0.89875597,0.29163817,0.3047538,0.66833633,0.033595003,0.29359028,0.6137168,0.41686082
0.13217147,0.6689139,0.086399734,0.20385677,0.78463864,0.17935544,0.06462299,0.5610928,0.019780288,0.1092856,0.40054268,0.37765682
0.02023922,0.42905867,0.89652455,0.12099997,0.5615372,1.0,0.0,0.24226518,0.82538044,0.4583819,0.22464894,0.6627916
0.19504105,0.012568627,0.36907822,0.30274346,0.12281319,0.4228986,0.1415391,0.0,0.18390104,0.2820596,0.103804834,0.19082342
0.074001364,0.767039,0.1751748,0.17946288,0.90485954,0.22531123,0.0,0.5822471,0.0,0.12458808,0.4205202,0.4711069
0.3690037,0.12293539,0.027825575,0.4622804,0.21701828,0.15876134,0.30121648,0.0,0.0,0.19841464,0.24596955,0.07538048
0.8302648,0.99240243,0.23101711,0.94064814,1.0,0.39825588,0.7056487,0.8833975,0.108613394,0.53064096,0.9113336,0.6117098
0.8195993,0.21191221,0.9433458,0.92226136,0.26297304,0.99876934,0.6705137,0.08054395,0.7782251,0.8814725,0.5157557,0.577629
0.50119704,0.8415888,0.3418109,0.6110632,0.9427212,0.42406523,0.38575745,0.730085,0.21035574,0.42150396,0.6713929,0.5916999
0.9941662,0.69578844,0.07704513,1.0,0.82254595,0.2303649,0.9380485,0.63827425,0.0,0.53560567,0.8449773,0.3864168
0.5328766,0.8663481,0.086778566,0.6473095,1.0,0.25733057,0.33661267,0.7138764,0.0005318556,0.3098276,0.6996124,0.47656333
0.37604457,0.14079702,0.87700295,0.46447206,0.30242303,1.0,0.29584673,0.0,0.79810476,0.62652373,0.2584208,0.5089
0.82392275,0.08546913,0.98591137,0.93451196,0.24992818,1.0,0.70010275,0.0,0.8960326,0.90491706,0.45469594,0.53569025
0.117608614,0.9214163,0.70626616,0.28274223,1.0,0.78956765,0.0,0.8183077,0.5150906,0.4119374,0.5195124,0.8138412
0.72529113,0.8048756,0.9526696,0.88048744,0.97950155,1.0,0.59592,0.7174546,0.80608726,0.8389804,0.7650834,0.8787726
0.34626052,0.62415373,0.8222129,0.49576074,0.707217,0.8817623,0.18848084,0.56548506,0.69054025,0.58423674,0.48520714,0.72318333
0.25382417,0.0642149,0.47517878,0.36672112,0.24384566,0.6331114,0.16397958,0.0,0.38159707,0.36450148,0.15901953,0.26969683
0.23769034,0.8042161,0.05417564,0.4271987,0.9837306,0.16832341,0.14958066,0.6650712,0.0,0.14593299,0.52095324,0.42919585
0.3713557,0.6632833,0.47309488,0.4373755,0.7754989,0.6511914,0.19362596,0.48397353,0.35231453,0.4222253,0.5173195,0.5681891
0.8202045,0.51766324,0.008889296,0.8894361,0.71251905,0.16683325,0.70052993,0.4008488,0.0,0.4145469,0.66893387,0.26327628
0.11657099,0.63634866,0.48942617,0.17007607,0.76532435,0.66672856,0.0078091538,0.4559027,0.4222736,0.30299857,0.37645984,0.56288743
0.39123324,0.9192886,0.033612635,0.45154178,1.0,0.19936952,0.29088318,0.8568709,0.0,0.21242294,0.6552609,0.47645062
0.16334656,0.8323538,0.9246368,0.22720267,0.9284246,1.0,0.0,0.7730308,0.77866596,0.5439917,0.49785015,0.8784953
0.3211042,0.18035555,0.53451985,0.47579047,0.33985543,0.6911607,0.17842826,0.044508275,0.46474284,0.42781204,0.2507299,0.35743773
0.38034442,0.8504929,0.31368434,0.579423,0.901521,0.38217226,0.32439017,0.797848,0.15187441,0.34701437,0.6154186,0.5820886
0.63264376,0.8658473,0.024694003,0.82966286,0.9688696,0.11342932,0.5715016,0.7642576,0.0,0.32866886,0.7492455,0.44527066
0.55210227,0.15554081,0.65535474,0.6813368,0.25527298,0.77809197,0.37842408,0.068778805,0.54527503,0.60372853,0.35382155,0.40544778
0.85546166,0.005760226,0.58907306,1.0,0.058737196,0.7564944,0.6923192,0.0,0.40499964,0.7222673,0.43061095,0.29741663
0.5999797,0.79859895,0.112519816,0.66564953,0.95129323,0.25681463,0.49795663,0.6355802,0.0,0.35624978,0.6992893,0.45555937
0.74837613,0.36899143,0.67346215,0.83156127,0.5453969,0.7268915,0.5853022,0.24185672,0.5319997,0.71091914,0.5586838,0.52122676
0.6239183,0.6435746,0.13502473,0.6936298,0.84130615,0.3112087,0.4906246,0.49250665,0.063652374,0.3794715,0.63374645,0.38929966
0.48921987,0.6063891,0.052598733,0.54922533,0.7662486,0.16910507,0.36940897,0.5317554,0.0,0.2709093,0.5478045,0.3294939
0.67272854,0.51735395,0.83145934,0.8389013,0.61285317,0.9816209,0.58552736,0.43371207,0.65635407,0.7520939,0.5950412,0.67440665
0.4738868,0.75427246,0.832061,0.60927624,0.91855663,0.97292125,0.28795803,0.6467973,0.7042126,0.6529739,0.6140796,0.7931667
0.38693547,0.37853402,0.23846269,0.5376893,0.5376132,0.37600154,0.31918666,0.20224743,0.16838264,0.31269908,0.38273475,0.30849835
0.2589973,0.1891134,0.1450113,0.41505983,0.29330486,0.29365125,0.17104498,0.054982904,0.041789044,0.2020043,0.22405533,0.16706236
0.95231724,0.613145,0.70488703,1.0,0.70546764,0.8024486,0.76967406,0.4940064,0.51488507,0.82860214,0.7827311,0.659016
0.7114959,0.76463,0.23946507,0.884708,0.8256923,0.33658397,0.5894421,0.66812396,0.098658726,0.4754805,0.738063,0.50204754
0.15301923,0.08583739,0.66895145,0.22460283,0.22641401,0.8319461,0.0,0.0,0.5703075,0.41098532,0.11942831,0.3773944
0.80354655,0.84178644,0.36116165,1.0,0.9662703,0.55237,0.73394436,0.6876969,0.18511711,0.5823541,0.8226665,0.60147405
0.04971569,0.75568116,0.055883203,0.11260099,0.9140814,0.12322164,0.0,0.5764967,0.0,0.052799445,0.40269843,0.4057822
0.040205665,0.99916184,0.25895637,0.20522283,1.0,0.37105608,0.0,0.82771385,0.08932098,0.14958102,0.5196838,0.62905914
0.6296781,0.19871196,0.701586,0.74931264,0.29801208,0.85721445,0.54664534,0.07719258,0.54233295,0.665632,0.41419503,0.45014897
0.6963564,0.95644295,0.20634876,0.7711249,1.0,0.3333538,0.53328234,0.8160904,0.026263362,0.4513526,0.8263997,0.58139586
0.67283064,0.9130325,0.6639806,0.86447626,1.0,0.8407512,0.5405144,0.7259126,0.4974631,0.6684056,0.79293156,0.7885065
0.30358762,0.08154673,0.56123734,0.3902026,0.2246671,0.6269398,0.250354,0.0,0.39590985,0.43241248,0.19256717,0.32139203
0.023642795,0.61157125,0.13231668,0.081338525,0.75267607,0.31322494,0.0,0.52975327,0.0,0.077979736,0.31760702,0.37194395
0.27824852,0.51361245,0.58954805,0.36374587,0.6842954,0.78853923,0.09320574,0.3175591,0.45843947,0.4338983,0.39593047,0.55158025
0.022708965,0.54851365,0.7716347,0.20383593,0.7278486,0.8828969,0.0,0.46866146,0.5952746,0.39717183,0.2856113,0.6600742
0.44771725,0.52741104,0.0686244,0.5341061,0.6666177,0.22487493,0.2973986,0.37565455,0.0026933781,0.2581708,0.48756418,0.29801774
